Year;Month;Date;Piege;Commune;Village;Environnement;Eau;Debris;H20;Oeufs;Albo_M;Tot_Albo;Aegypti_M;Tot_aegypti;Tot_Aedes;X;Y
2021;Septembre;23/03/2021;6;Koungou;Kangani;U;trouble;élevés;sec;129;13;127;5;5;132;520115,69;8592855,11
2021;Octobre;04/03/2021;7;Koungou;Kangani;U;trouble;élevés;sec;222;13;13;5;167;180;520164,53;8592838,27
2021;Février;06/05/2021;5;Koungou;Kangani;U;claire;faibles;sec;0;0;0;0;0;0;520046,77;8592876,28
2021;Mars ;06/05/2021;2;Koungou;Kangani;U;claire;faibles;sec;23;0;0;0;0;0;520214,66;8592955,12
2021;Septembre;09/03/2021;4;Koungou;Kangani;U;claire;faibles;sec;51;5;1;5;1;2;520157,31;8592912,59
2021;Septembre;30/09/2021;4;Koungou;Kangani;U;claire;faibles;sec;78;0;0;3;3;3;520157,31;8592912,59
2021;Février;09/06/2021;7;Koungou;Kangani;U;claire;faibles;sec;0;0;0;5;5;5;520164,53;8592838,27
2021;Mars ;18/05/2021;2;Koungou;Kangani;U;claire;faibles;sec;7;0;0;5;5;5;520214,66;8592955,12
2021;Mars ;15/09/2021;2;Koungou;Kangani;U;claire;faibles;sec;19;0;0;5;5;5;520214,55;8592955,12
2021;Avril;15/10/2021;1;Koungou;Kangani;U;claire;faibles;sec;29;0;0;5;5;5;520396,49;8593102,62
2021;Avril;26/08/2021;5;Koungou;Kangani;U;claire;faibles;sec;32;0;0;5;5;5;520046,77;8592876,28
2021;Avril;30/09/2021;8;Koungou;Kangani;U;claire;faibles;sec;33;0;0;5;5;5;520212,53;8592719,58
2021;Avril;08/10/2021;1;Koungou;Kangani;U;claire;faibles;sec;43;0;0;5;5;5;520396,49;8593102,62
2021;Avril;08/10/2021;5;Koungou;Kangani;U;claire;faibles;sec;43;0;0;5;5;5;520046,77;8592876,28
2021;mai;30/09/2021;1;Koungou;Kangani;U;claire;faibles;sec;61;0;0;5;5;5;520396,49;8593102,62
2021;mai;15/10/2021;5;Koungou;Kangani;U;claire;faibles;sec;81;0;0;5;5;5;520046,77;8592876,28
2021;Juin;02/06/2021;2;Koungou;Kangani;U;claire;faibles;sec;64;1;1;5;5;6;520214,66;8592955,12
2021;Juin;04/03/2021;10;Koungou;Kangani;U;claire;faibles;sec;31;3;1;5;5;6;520124,05;8592713,34
2021;Juin;09/03/2021;8;Koungou;Kangani;U;claire;faibles;sec;75;3;1;5;5;6;520212,53;8592719,58
2021;Juillet ;16/06/2021;7;Koungou;Kangani;U;claire;faibles;sec;21;3;3;5;5;8;520099,39;8592838,31
2021;Juillet ;23/03/2021;5;Koungou;Kangani;U;claire;faibles;sec;84;3;3;5;5;8;520046,77;8592876,28
2021;Octobre;15/10/2021;9;Koungou;Kangani;U;claire;faibles;sec;73;0;0;13;13;13;520137,24;8592627,29
2021;Juillet ;09/09/2021;11;Koungou;Kangani;U;claire;faibles;sec;24;8;8;5;5;13;520319,66;8592688,64
2021;Juillet ;26/05/2021;8;Koungou;Kangani;U;claire;faibles;sec;44;14;14;0;0;14;520212,53;8592719,58
2021;Septembre;26/08/2021;3;Koungou;Kangani;U;claire;faibles;sec;54;4;4;2;2;6;520127,17;8592966,79
2021;Juillet ;29/07/2021;2;Koungou;Kangani;U;claire;faibles;sec;49;15;15;5;5;20;520214,66;8592955,12
2021;Juillet ;29/03/2021;4;Koungou;Kangani;U;claire;faibles;sec;85;15;15;5;5;20;520157,31;8592912,59
2021;Juillet ;23/03/2021;10;Koungou;Kangani;U;claire;faibles;sec;180;4;15;5;5;20;520124,05;8592713,34
2021;Avril;04/03/2021;5;Koungou;Kangani;U;claire;faibles;sec;30;4;4;5;5;21;520046,77;8592876,28
2021;mai;15/10/2021;8;Koungou;Kangani;U;claire;faibles;sec;134;4;4;5;5;21;520212,53;8592719,58
2021;mai;04/03/2021;4;Koungou;Kangani;U;claire;faibles;sec;92;4;4;5;5;21;520157,31;8592912,59
2021;Octobre;15/09/2021;11;Koungou;Kangani;U;claire;faibles;sec;13;4;4;4;4;8;520319,66;8592688,64
2021;Juin;21/10/2021;1;Koungou;Kangani;U;claire;faibles;sec;62;4;4;5;5;21;520396,49;8593102,62
2021;Juin;21/10/2021;2;Koungou;Kangani;U;claire;faibles;sec;62;3;3;5;5;21;520214,66;8592955,12
2021;Juin;21/10/2021;3;Koungou;Kangani;U;claire;faibles;sec;62;3;3;5;5;21;520126,73;8592966,79
2021;Juin;21/10/2021;8;Koungou;Kangani;U;claire;faibles;sec;62;3;3;5;5;21;520212,53;8592719,58
2021;Juin;21/10/2021;4;Koungou;Kangani;U;claire;faibles;sec;62;3;3;5;5;21;520157,31;8592912,59
2021;Juin;21/10/2021;5;Koungou;Kangani;U;claire;faibles;sec;62;3;3;5;5;21;520046,77;8592876,28
2021;Juin;21/10/2021;6;Koungou;Kangani;U;claire;faibles;sec;62;3;3;5;5;21;520115,69;8592855,11
2021;Juin;21/10/2021;7;Koungou;Kangani;U;claire;faibles;sec;62;3;3;5;5;21;520164,53;8592838,27
2021;Juin;21/10/2021;9;Koungou;Kangani;U;claire;faibles;sec;62;3;3;5;5;22;520137,24;8592627,29
2021;Juin;21/10/2021;10;Koungou;Kangani;U;claire;faibles;sec;62;3;3;5;5;22;520124,05;8592713,34
2021;Juin;21/10/2021;11;Koungou;Kangani;U;claire;faibles;sec;62;3;3;5;5;22;520319,66;8592688,64
2021;Juin;05/11/2021;2;Koungou;Kangani;U;claire;faibles;sec;62;3;3;5;5;22;520214,66;8592955,12
2021;Juin;05/11/2021;6;Koungou;Kangani;U;claire;faibles;sec;62;3;3;5;5;22;520115,69;8592855,11
2021;Juillet ;08/10/2021;2;Koungou;Kangani;U;claire;faibles;sec;92;17;17;5;5;22;520214,66;8592955,12
2021;Février;09/03/2021;5;Koungou;Kangani;U;claire;faibles;sec;0;3;3;5;5;22;520046,77;8592876,28
2021;Février;09/03/2021;9;Koungou;Kangani;U;claire;faibles;sec;0;3;3;5;5;22;520137,24;8592627,29
2021;Juillet ;15/10/2021;6;Koungou;Kangani;U;claire;faibles;sec;55;18;18;5;5;23;520115,69;8592855,11
2021;Septembre;16/06/2021;11;Koungou;Kangani;U;claire;faibles;sec;18;3;3;5;5;25;520319,66;8592688,64
2021;Août;18/05/2021;9;Koungou;Kangani;U;claire;faibles;sec;40;27;27;0;0;27;520137,24;8592627,29
2021;Août;23/03/2021;4;Koungou;Kangani;U;claire;faibles;sec;171;3;22;5;5;27;520157,31;8592912,59
2021;Août;15/09/2021;7;Koungou;Kangani;U;claire;faibles;sec;68;29;29;0;0;29;520110,25;8592838,31
2021;Août;06/05/2021;8;Koungou;Kangani;U;claire;faibles;sec;105;29;29;0;0;29;520212,53;8592719,58
2021;Octobre;15/09/2021;6;Koungou;Kangani;U;claire;faibles;sec;89;17;17;17;17;34;520115,69;8592855,11
2021;Octobre;15/10/2021;7;Koungou;Kangani;U;claire;faibles;sec;80;43;43;11;11;54;520099,39;8592838,31
2021;Octobre;04/03/2021;9;Koungou;Kangani;U;claire;faibles;sec;42;4;4;5;34;38;519485,9;8592627,75
2021;Septembre;15/10/2021;4;Koungou;Kangani;U;claire;faibles;sec;157;59;59;5;5;64;520157,31;8592912,59
2021;Septembre;23/03/2021;11;Koungou;Kangani;U;claire;faibles;sec;162;5;59;5;5;64;520319,66;8592688,64
2021;Septembre;06/05/2021;9;Koungou;Kangani;U;claire;faibles;sec;173;68;68;0;0;68;520137,24;8592627,29
2021;Octobre;06/05/2021;11;Koungou;Kangani;U;claire;faibles;sec;105;47;47;24;24;71;520319,66;8592688,64
2021;Octobre;18/05/2021;11;Koungou;Kangani;U;claire;faibles;sec;108;53;53;20;20;73;520319,66;8592688,64
2021;Octobre;26/05/2021;6;Koungou;Kangani;U;claire;faibles;sec;93;64;64;18;18;82;520115,69;8592855,11
2021;Septembre;06/05/2021;3;Koungou;Kangani;U;claire;faibles;sec;42;85;85;0;0;85;520127,17;8592966,79
2021;Septembre;09/03/2021;2;Koungou;Kangani;U;claire;faibles;sec;104;7;83;5;5;88;520214,66;8592955,12
2021;Septembre;06/05/2021;1;Koungou;Kangani;U;claire;faibles;sec;200;91;91;0;0;91;520396,49;8593102,62
2021;Septembre;09/03/2021;1;Koungou;Kangani;U;claire;faibles;sec;106;8;91;5;5;96;520396,49;8593102,62
